Latitude,Longitude,neighborhood,median_householdinc
40.66620508,-73.91691035,Brownsville,30733
40.66344406,-73.91305346,Brownsville,30733
40.66011794,-73.91488922,Brownsville,30733
40.66006,-73.9082,Brownsville,30733
40.65942447,-73.90998019,Brownsville,30733
40.66160842,-73.90971324,Brownsville,30733
40.665985,-73.911659,Brownsville,30733
40.663009,-73.912041,Brownsville,30733
40.66367,-73.9159,Brownsville,30733
40.66189,-73.918412,Brownsville,30733
40.66237707,-73.91577569,Brownsville,30733
40.65881,-73.9159,Brownsville,30733
40.66430123,-73.91626788,Brownsville,30733
40.660761,-73.917153,Brownsville,30733
40.6655566,-73.91461759,Brownsville,30733
40.66269,-73.9192,Brownsville,30733
40.659323,-73.916727,Brownsville,30733
40.66515,-73.9184,Brownsville,30733
40.66063698,-73.91418337,Brownsville,30733
40.65959247,-73.91213276,Brownsville,30733
40.66416161,-73.91508683,Brownsville,30733
40.66565,-73.9126,Brownsville,30733
40.6662437,-73.91269654,Brownsville,30733
40.66578694,-73.91550002,Brownsville,30733
40.65105,-73.9433,East Flatbush,67488
40.65109959,-73.94516269,East Flatbush,67488
40.647446,-73.951205,Flatbush,66173
40.651322,-73.9476297,East Flatbush,67488
40.64758829,-73.95222494,Flatbush,66173
40.65156205,-73.94777782,East Flatbush,67488
40.65177,-73.945735,East Flatbush,67488
40.64924,-73.952411,Flatbush,66173
40.65312165,-73.94269671,East Flatbush,67488
40.65224,-73.9469,East Flatbush,67488
40.653152,-73.942558,East Flatbush,67488
40.649445,-73.949319,East Flatbush,67488
40.652659,-73.951216,Flatbush,66173
40.64984064,-73.94761578,East Flatbush,67488
40.65088128,-73.94927738,East Flatbush,67488
40.65176939,-73.94914407,East Flatbush,67488
40.648891,-73.951522,Flatbush,66173
40.64832903,-73.94548179,East Flatbush,67488
40.64995585,-73.94459138,East Flatbush,67488
40.64848868,-73.94342851,East Flatbush,67488
40.64737,-73.9454,East Flatbush,67488
40.64741,-73.9482,East Flatbush,67488
40.64861313,-73.94457516,East Flatbush,67488
40.65045429,-73.94558261,East Flatbush,67488
40.648527,-73.949243,East Flatbush,67488
40.64889194,-73.94751593,East Flatbush,67488
40.65007,-73.9465,East Flatbush,67488
40.64961763,-73.94840363,East Flatbush,67488
40.64687652,-73.94615437,East Flatbush,67488
40.64908,-73.946,East Flatbush,67488
40.65162016,-73.95201341,Flatbush,66173
40.65242,-73.9449,East Flatbush,67488
40.650811,-73.951265,Flatbush,66173
40.64673764,-73.95123356,Flatbush,66173
40.65263184,-73.95137314,Flatbush,66173
40.67066565,-73.89459381,East New York,45616
40.66762789,-73.896234,East New York,45616
40.66715104,-73.89453558,East New York,45616
40.66849402,-73.89390293,East New York,45616
40.67163,-73.897245,East New York,45616
40.66976896,-73.89327931,East New York,45616
40.66722786,-73.89668738,East New York,45616
40.6728091,-73.89622692,East New York,45616
40.669374,-73.895751,East New York,45616
40.67048138,-73.89612353,East New York,45616
40.66846653,-73.89593926,East New York,45616
40.66865332,-73.88963494,East New York,45616
40.66812999,-73.89314706,East New York,45616
40.672347,-73.89800134,East New York,45616
40.66819894,-73.88817886,East New York,45616
40.666837,-73.890456,East New York,45616
40.67200724,-73.89451595,East New York,45616
40.67046997,-73.88740215,East New York,45616
40.67159155,-73.88930114,East New York,45616
40.67149287,-73.89276601,East New York,45616
40.67165609,-73.88802102,East New York,45616
40.66982269,-73.89169566,East New York,45616
40.66648717,-73.89148494,East New York,45616
40.672717,-73.889872,East New York,45616
40.67241223,-73.89282855,East New York,45616
40.67344094,-73.89149665,East New York,45616
40.669412,-73.891384,East New York,45616
40.67268689,-73.89098562,East New York,45616
40.66968565,-73.89039858,East New York,45616
40.66786334,-73.88993316,East New York,45616
40.67207008,-73.89100477,East New York,45616
40.67382393,-73.89201301,East New York,45616
40.67618735,-73.98368192,Gowanus,133269
40.67895533,-73.98675637,Gowanus,133269
40.677032,-73.983954,Gowanus,133269
40.67699145,-73.98416428,Gowanus,133269
40.67746527,-73.98706424,Gowanus,133269
40.67981618,-73.98940957,Gowanus,133269
40.68020548,-73.99255773,Carroll Gardens,121638
40.68193154,-73.99713465,Carroll Gardens,121638
40.68331068,-73.99897774,Carroll Gardens,121638
40.682168,-73.995408,Carroll Gardens,121638
40.67914263,-73.99458114,Carroll Gardens,121638
40.67837627,-73.99167667,Gowanus,133269
40.68064585,-73.99680888,Carroll Gardens,121638
40.67821453,-73.98313606,Gowanus,133269
40.6782815,-73.99448571,Carroll Gardens,121638
40.6819194,-73.99273154,Carroll Gardens,121638
40.68453947,-73.92554481,Bed-Stuy,66923
40.68156576,-73.93281464,Bed-Stuy,66923
40.68207336,-73.93181306,Bed-Stuy,66923
40.68404929,-73.92979316,Bed-Stuy,66923
40.68027678,-73.93096009,Bed-Stuy,66923
40.684969,-73.928454,Bed-Stuy,66923
40.685855,-73.928136,Bed-Stuy,66923
40.68531237,-73.93185675,Bed-Stuy,66923
40.68589837,-73.93423211,Bed-Stuy,66923
40.6844671,-73.92943689,Bed-Stuy,66923
40.68447722,-73.92702049,Bed-Stuy,66923
40.68294007,-73.92734946,Bed-Stuy,66923
40.66377947,-73.90645925,Brownsville,30733
40.66339369,-73.90754378,Brownsville,30733
40.6640741,-73.90632715,Brownsville,30733
40.66322811,-73.90718546,Brownsville,30733
40.66275263,-73.90814401,Brownsville,30733
40.66371423,-73.9085336,Brownsville,30733
40.66339,-73.9145,Brownsville,30733
40.65900255,-73.91167115,Brownsville,30733
40.66087,-73.91,Brownsville,30733
40.66551,-73.9102,Brownsville,30733
40.66290721,-73.91757015,Brownsville,30733
40.6652,-73.913,Brownsville,30733
40.66523,-73.9154,Brownsville,30733
40.661283,-73.911419,Brownsville,30733
40.682379,-73.931414,Bed-Stuy,66923
40.68448113,-73.93350809,Bed-Stuy,66923
40.68076793,-73.92670638,Bed-Stuy,66923
40.68455584,-73.9254022,Bed-Stuy,66923
40.685553,-73.926555,Bed-Stuy,66923
40.68366901,-73.93405186,Bed-Stuy,66923
40.6829293,-73.93396821,Bed-Stuy,66923
40.68601245,-73.92576799,Bed-Stuy,66923
40.68480269,-73.93069853,Bed-Stuy,66923
40.680683,-73.934096,Bed-Stuy,66923
40.68147733,-73.92885769,Bed-Stuy,66923
40.681228,-73.92562,Bed-Stuy,66923
40.68201737,-73.92596005,Bed-Stuy,66923
40.68239493,-73.92887443,Bed-Stuy,66923
40.68646444,-73.92930223,Bed-Stuy,66923
40.68580145,-73.93254866,Bed-Stuy,66923
40.684987,-73.93239159,Bed-Stuy,66923
40.68484459,-73.92638153,Bed-Stuy,66923
40.68372843,-73.92913824,Bed-Stuy,66923
40.686047,-73.929807,Bed-Stuy,66923
40.68385526,-73.92589852,Bed-Stuy,66923
40.66454637,-73.9056737,Brownsville,30733
40.66276204,-73.90853126,Brownsville,30733
40.66444202,-73.90643687,Brownsville,30733
40.66342701,-73.90629547,Brownsville,30733
40.66399424,-73.90604686,Brownsville,30733
40.66343414,-73.9063642,Brownsville,30733
40.66341976,-73.90693836,Brownsville,30733
40.6638469,-73.90830763,Brownsville,30733
